institution,position,address,url,year
University of Central Florida,Assistant or Associate Professor  [17716] ,"Writing & Rhetoric, PO Box 161345, Orlando, FL 32816",http://writingandrhetoric.cah.ucf.edu/,2012-2013
University of Central Florida,Assistant or Associate Professor and Composition Program Director  [17717] ,"Writing & Rhetoric, PO Box 161345, Orlando, FL 32816",http://writingandrhetoric.cah.ucf.edu/,2012-2013
"University of Colorado, Colorado Springs
","Assistant Professor, TT, Rhetoric Specialist; Director of First-Year Rhetoric and Writing  [17727] ","English, 1420 Austin Bluffs Pky, Colorado Springs, CO 80918",http://www.uccs.edu/,2012-2013
" University of Illinois, Urbana-Champaign
",Assistant/Associate Professor in Writing Studies  [17724] ,"English, 608 S Wright St, Urbana, IL 61801",http://www.english.illinois.edu/,2012-2013
University of Louisville,Director of Composition  [17787] ,"Classical & Mod Langs, 2301 S Third St, 326 Bingham Hum Bldg, Louisville, KY 40292",http://www.louisville.edu/jobs,2012-2013
" University of North Carolina, Asheville",Tenure Track Position in Literature at UNC Asheville  [17774] ,"Lit & Lang, 1 University Hts CPO #2130, Asheville, NC 28804",http://literature.unca.edu/,2012-2013
"University of South Carolina, Columbia",Composition and Rhetoric  [17721] ,"English, 1620 College St, Columbia, SC 29208","http://artsandsciences.sc.edu/engl/
",2012-2013
Wake Forest U,Lecturer (Writing)  [17712] ,"English, PO Box 7387, Winston-Salem, NC 27109",http://college.wfu.edu/writingprogram,2012-2013
Westminster C,Assistant Professor of English  [17753] ,"English, 501 Westminster Av, Fulton, MO 65251",http://www.westminster-mo.edu,2012-2013
California Lutheran University,Assistant Professor of English/Writing Center Director  [17868] ,"English, 60 W Olsen Rd # 3900, Thousand Oaks, CA 91360",http://www.callutheran.edu/,2012-2013
Eastern Michigan University ,Assistant Professor in Writing  [17850] ,"English, 612 Pray-Harrold, Ypsilanti, MI 48197",http://www.Click2Apply.net/47xxr8c,2012-2013
Eastern Michigan University ,Assistant Professor in Rhetoric and Writing Professor  [17867] ,"English, 612 Pray-Harrold, Ypsilanti, MI 48197",http://www.Click2Apply.net/jtwzhpd,2012-2013
Missouri University of Science & Technology,Max C. Weiner Distinguished Professorship in English or Technical Communication  [17858] ,"English & Tech Communication, 500 W 14th St 236 H-SS, Rolla, MO 65409",http://www.mst.edu,2012-2013
 Northeastern University,Assistant or Associate Professor of Rhetoric and Composition  [17888] ,"English, 360 Huntington Av 405 LA, Boston, MA 02115",http://www.northeastern.edu/english/,2012-2013
Saint Norbert College ,Assistant professor of English and Director of Writing Across the Curriculum  [17844] ,"English, Boyle Hall 100 Grant St, De Pere, WI 54115",http://www.snc.edu,2012-2013
"University of Michigan, Dearborn",Assistant Professor in Composition and Rhetoric  [17899] ,"Lit, Philos, & the Arts, 4901 Evergreen Rd 3011 CB, Dearborn, MI 48128",http://www.casl.umd.umich.edu/lcc/,2012-2013
University of Southern Mississippi,"Tenure-Track Position (open rank), Composition & Rhetoric and Director of Composition  [17852] ","English, 118 College Dr, #5037, Hattiesburg, MS 39406",http://www.usm.edu,2012-2013
"University of Wisconsin, La Crosse","Assistant Professor of Rhetoric and Writing, Professional Writing Specialist  [17826] ","English, 1725 State St, La Crosse, WI 54601",http://www.uwlax.edu,2012-2013
"University of Wisconsin, Milwaukee",Associate or Full Professor Rhetoric and Composition  [17849] ,"English, PO Box 413 Curtin Hall, Rm 413, Milwaukee, WI 53201",http://www4.uwm.edu/,2012-2013
"University of Wisconsin, Stout",Assistant Professor of Professional Communication and Emerging Media  [17860] ,"English/Philos, 132 Harvey Hall, Menomonie, WI 54751",http://www.uwstout.edu/english,2012-2013
Wayne State University,Assitant or Associate Professor of Composition/Rhetoric  [17832] ,"English, 5057 Woodward, Ste 9408, Detroit, MI 48202",http://wayne.edu,2012-2013
American University of Kuwait ,Assistant Professor of English  [17936] ,"Safat, Kuwait ",http://www.auk.edu.kw,2012-2013
Avila University ,Assistant Professor of English  [17929] ,"English, 11901 Wornall Rd, Kansas City, MO 64145",http://www.avila.edu/english,2012-2013
 Brigham Young U-Hawaii,"English Professor, Open Rank  [18008] ","English, BYUH 1964 55-220 Kulanui St, Laie, HI 96762",http://hr.byuh.edu/?q=careers/jobs,2012-2013
Carnegie Mellon University ,A.W. Mellon Postdoctoral Fellowships in the Humanities  [17954] ,"English, 5000 Forbes Av Baker Hall 259, Pittsburgh, PA 15213",http://www.hss.cmu.edu/,2012-2013
Central Michigan University,Assitant or Associate professor of Writing Center  [17992] ,"English Lang & Lit, Anspach 215, Mt Pleasant, MI 48859",http://www.cmich.edu,2012-2013
Coastal Carolina U,Assistant Professor of English � Composition and Rhetoric  [17957],"English, PO Box 261954, Conway, SC 29528",http://www.coastal.edu,2012-2013
James Madison University,"Assistant or Associate Professor of Writing, Rhetoric & Technical Communication  [17968] ","Writing, Rhetoric & Tech Communication, Suite 2276 Harrison Hall, MSC 2103, Harrisonburg, VA 22807",http://www.jmu.edu/wrtc,2012-2013
" John Jay C of Criminal Justice, CUNY",Assistant Professor of English  [17984] ,"English, 524 W 59th St, New York, NY 10019",http://www.jjay.cuny.edu,2012-2013
Loyola U Maryland,"Assistant Professor, Writing  [17963] ","Writing, 4501 N Charles St, Baltimore, MD 21210",http://www.Click2apply.net/4fzvfxj,2012-2013
McKendree U,Assistant Professor of English  [18002] ,"Lang, Lit, & Communication Div, 701 College Rd, Lebanon, IL 62254",http://www.mckendree.edu,2012-2013
"Penn State U, DuBois",Full-time Nontenure-Track Assistant Professor of English  [17956] ,"English, 1 College Pl, Dubois, PA 15801",http://www.psu.edu/ur/cmpcoll.html,2012-2013
Scripps College ,"SCRIPPS COLLEGE CLAREMONT, CA 91711 MARY ROUTT ENDOWED CHAIR OF WRITING SPRING 2014 OR SPRING 2015  [17955] ","1030 Columbia Av, Claremont, CA 91711",http://www.scrippscollege.edu,2012-2013
Southern New Hampshire U,Assistant Professor of English  [17982] ,"English, 2500 N River Rd, Manchester, NH 03106",http://www.snhu.edu,2012-2013
