Institution,Position,Address,URL,
New Mexico Highlands U,Assistant/Associate Professor of English/Composition Tenure-Track  [17677] ,"English & Philos, Box 9000, Las Vegas, NM 87701",http://www.nmhu.edu/jobs,
North Carolina SU,TENURED/TENURE TRACK POSITION IN DIGITAL HUMANITIES  [17321] ,"English, PO Box 8105, Raleigh, NC 27695",http://jobs.ncsu.edu/postings/12400,
Ohio SU,Open Rank Position in Professional/Technical Communication  [17416] ,"English, Denney Hall 421 164 W 17th Av, Columbus, OH 43210",http://english.osu.edu/,
Oregon State University ,Assistant or Associate Professor  [17373] ,"English, 238 Moreland Hall, Corvallis, OR 97331",http://oregonstate.edu/jobs,
Providence C,Assistant Professor of English (Writing Specialist)  [17567] ,"English, 1 Cunningham Sq, Providence, RI 02918",http://www.providence.edu/,
Regent U,Associate Professor of English  [17338] ,"Lang & Lit, 1000 Regent University Dr, Virginia Beach, VA 23464",http://www.regent.edu/jobs,
Rollins College ,Assistant Professor of Creative Non-Fiction  [17344] ,"English, 1000 Holt Av, Campus Box 2666, Winter Park, FL 32789",https://www.rollinsjobs.com/postings/search?query=&query_v0_,
"SU of New York, U at Buffalo",Associate or Full Professor of Composition and Rhetoric  [17523] ,"English, 306 Clemens Hall, Buffalo, NY 14260",http://english.buffalo.edu/,
Saint John Fisher College ,Assistant Professor of English [17538] ,"English, 3690 East Av, Rochester, NY 14618",http://www.sjfc.edu/,
Saint Thomas Aquinas C,Assistant Professor of English  [17409] ,"English, 125 Rt 340, Sparkill, NY 10976",http://www.stac.edu/,
San Jose State University ,Assistant Professor of Career Writing  [17587] ,"English & Comp Lit, 1 Washington Sq, San Jose, CA 95192",http://www.sjsu.edu/english/,
Santa Clara U,Assistant Professor of Rhetoric and Composition  [17600] ,"English, 500 El Camino Real, Santa Clara, CA 95053",http://www.scu.edu/jobs/,
"Texas SU, San Marcos","Assistant Professor English, Rhetoric and Composition  [17208] ","English, 601 University Dr, San Marcos, TX 78666",http://www.english.txstate.edu/,
"U of Alabama, Birmingham","Assistant Professor of Rhetoric and Composition, Writing Center Director  [17298] ","English, HB 215D 1530 3rd Av S, Birmingham, AL 35294",http://www.uab.edu/english,
" U of California, Santa Barbara",Lecturer  [17527] ,"English, 3431 South Hall c/o South Hall Administrative Support Ctr, Santa Barbara, CA 93106",http://www.writing.ucsb.edu,
U of Central Oklahoma,Assistant Professor of English  [17238] ,"English, 100 N University Dr Box 184, Edmond, OK 73034",http://www.uco.edu/la/english/index.asp,
U of Delaware,"Associate or Full Professor, Composition Studies  [17430] ","English, 212 Memorial Hall, Newark, DE 19716",http://www.udel.edu/udjobs,
" U of Missouri, St Louis",Assistant Professor  [17287] ,"English, 484 Lucas Hall 1 University Blvd, St Louis, MO 63121",http://umsl.edu,
"U of Nebraska, Omaha",Assistant Professor and Writing Center Director  [17478] ,"English, 6001 Dodge St, Omaha, NE 68182",http://www.unomaha.edu/english/,
 U of North Dakota,Assistant Professor of Writing Studies  [17580] ,"English, 276 Centennial Dr. Stop 7209 110 Merrifield Hall, Grand Forks, ND 58202",http://arts-sciences.und.edu/english/index.cfm,
 U of San Francisco,"Tenure-Track Assistant Professor, Poetry  [17252] ","English, 2130 Fulton St, San Francisco, CA 94117",http://apptrkr.com/270689,
" U of Tennessee, Knoxville","Tenure-Track Assistant or Associate Professor, Rhetoric and Composition  [17552] ","English, 301 McClung Tower, Knoxville, TN 37996",http://web.utk.edu/~english/default.html,
U of Vermont,Assistant Professor of Composition and Rhetoric [17316] ,"English, 400 Old Mill, 94 University Pl, Burlington, VT 05405",http://www.uvm.edu,
U of Washington ,Assistant Professor: Composition and Rhetoric  [17325] ,"English, Box 354330 A101 Padelford Hall, Seattle, WA  98195",http://depts.washington.edu/engl/,
U of Waterloo ,Open Rank position in Writing Studies  [17356] ,"English, 200 University Av W, Waterloo, ON Canada N2L 3G1",http://www.english.uwaterloo.ca,
"U of Wisconsin, Stout","Assistant Professor of Professional Writing, Composition, and Rhetoric  [17508] ","English/Philos, 132 Harvey Hall, Menomonie, WI 54751",http://www.uwstout.edu/english/index.cfm,
Ursinus College ,Director of Writing and Speaking Program  [17486] ,"English, PO Box 1000, Collegeville, PA 19426",http://ursinus.edu,
Virginia Military Inst,Assistant Professor of Rhetoric and Composition  [17198] ,"English & Fine Arts, 227 Scott Shipp Hall, Lexington, VA 24450",http://www.vmi.edu,
Virginia Military Inst,Assistant Professor of Rhetoric and Composition  [17199] ,"English & Fine Arts, 227 Scott Shipp Hall, Lexington, VA 24450",http://www.vmi.edu,
Virginia Polytechnic Inst & SU,Assistant Professor of Professional Writing: Visual Rhetoric and Design  [17376] ,"English, 323 Shanks Hall 0112, Blacksburg, VA 24061",http://www.english.vt.edu,
West Virginia U,"Assistant, Advanced Assistant or Associate Professor in Professional and Technical Writing  [17258] ","English, PO Box 6296 1503 University Av, Morgantown, WV 26506",http://www.english.wvu.edu,
West Virginia U,"GEORGE & JULIA BATES WELCH JACKSON, MARY M. JACKSON & JULIA BATES JACKSON NICHOLS CHAIR OF ENGLISH  [17476] ","English, PO Box 6296 1503 University Av, Morgantown, WV 26506",http://www.english.wvu.edu,
Western Washington U,Assistant Professor of Writing Studies  [17434] ,"English, 516 High St MS 9055, Bellingham, WA 98225",https://jobs.wwu.edu/JobPosting.aspx?JPID=3663,
Wheaton C,Two Assistant Professors of English  [17290] ,"English, 501 College Av, Wheaton, IL 60187",http://www.wheaton.edu/hr,
Whitman C,Assistant Professor of Composition in General Studies/Director of the Writing Center  [17630] ,"English, 345 Boyer St, Walla Walla, WA 99362",http://www.whitman.edu,
Whitworth U,"Assistant Professor/Director, Writing Center  [17648] ","English, 300 W Hawthorne Rd, Spokane, WA 99251",http://www.whitworth.edu,
 Whitworth U,Assistant Professor of English/Director of Writing Center  [17651] ,"English, 300 W Hawthorne Rd, Spokane, WA 99251",http://www.whitworth.edu,
Wilmington C,Assistant professor of English  [17335] ,"English, Box 1308, Wilmington, OH 45177",http://www2.wilmington.edu,
Wright SU,Assistant Professor of English & Academic Director of Developmental Writing  [17341] ,"English, 3640 Colonel Glenn Hwy, Dayton, OH 45435",http://jobs.wright.edu/postings/5523,
York C of Pennsylvania,Assistant/Associate Professor of Rhetoric and Composition  [17586] ,"English & Humanities, 441 Country Club Rd, York, PA 17403",http://jobs.wright.edu/postings/5523,
York C of Pennsylvania,Assistant/Associate Professor of Rhetoric and Composition  [17588] ,"English & Humanities, 441 Country Club Rd, York, PA 17403",http://jobs.wright.edu/postings/5523,
Auburn University,Assistant Director of University Writing for the Miller Writing Center  [17806] ,"Office of University Writing, 3436 RBD Library, Auburn, AL 36849",http://auburn.edu/writing,
Baylor University,Assistant Professor  [17723] ,"Baylor Interdisciplinary Core, Morrison Hall 101.1 One Bear Place #97350, Waco, TX 76798",http://www.baylor.edu/hr/index.php?id=81274,
Indiana University,Assistant Professor of Composition and Rhetoric  [17715] ,"English, 1020 E Kirkwood Av, 442 Ballantine Hall, Bloomington, IN 47405",http://www.indiana.edu/~engweb,
New Mexico State University ,Assistant Professor of English: Rhetoric  [17730] ,"English, 1385 International Mall Clara Belle Williams Rm 132, Las Cruces, NM 88003",http://www.nmsu.edu/~english/,
Rice University,"DIRECTOR, Program in Writing and Communication (PWC), Rice University  [17708]","English, 6100 Main St, MS 30, Houston, TX 77005",http://pwc.rice.edu/,
Rowan University ,Assistant Professor of Composition/Rhetoric  [17771] ,"Writing Arts, 201 Mullica Hill Rd, Glassboro, NJ 08028",http://rowan.edu/wa,
 Saint Joseph''s University,"Assistant Professor, Rhetoric and Composition  [17784] ","English, 5600 City Av, Philadelphia, PA 19131",http://www.sju.edu/int/academics/cas/english/,
University of Central Florida,Assistant or Associate Professor  [17716] ,"Writing & Rhetoric, PO Box 161345, Orlando, FL 32816",http://writingandrhetoric.cah.ucf.edu/,
University of Central Florida,Assistant or Associate Professor and Composition Program Director  [17717] ,"Writing & Rhetoric, PO Box 161345, Orlando, FL 32816",http://writingandrhetoric.cah.ucf.edu/,
"University of Colorado, Colorado Springs
","Assistant Professor, TT, Rhetoric Specialist; Director of First-Year Rhetoric and Writing  [17727] ","English, 1420 Austin Bluffs Pky, Colorado Springs, CO 80918",http://www.uccs.edu/,
" University of Illinois, Urbana-Champaign
",Assistant/Associate Professor in Writing Studies  [17724] ,"English, 608 S Wright St, Urbana, IL 61801",http://www.english.illinois.edu/,
University of Louisville,Director of Composition  [17787] ,"Classical & Mod Langs, 2301 S Third St, 326 Bingham Hum Bldg, Louisville, KY 40292",http://www.louisville.edu/jobs,
" University of North Carolina, Asheville",Tenure Track Position in Literature at UNC Asheville  [17774] ,"Lit & Lang, 1 University Hts CPO #2130, Asheville, NC 28804",http://literature.unca.edu/,
"University of South Carolina, Columbia",Composition and Rhetoric  [17721] ,"English, 1620 College St, Columbia, SC 29208","http://artsandsciences.sc.edu/engl/
",
Wake Forest U,Lecturer (Writing)  [17712] ,"English, PO Box 7387, Winston-Salem, NC 27109",http://college.wfu.edu/writingprogram,
Westminster C,Assistant Professor of English  [17753] ,"English, 501 Westminster Av, Fulton, MO 65251",http://www.westminster-mo.edu,
California Lutheran University,Assistant Professor of English/Writing Center Director  [17868] ,"English, 60 W Olsen Rd # 3900, Thousand Oaks, CA 91360",http://www.callutheran.edu/,
Eastern Michigan University ,Assistant Professor in Writing  [17850] ,"English, 612 Pray-Harrold, Ypsilanti, MI 48197",http://www.Click2Apply.net/47xxr8c,
Eastern Michigan University ,Assistant Professor in Rhetoric and Writing Professor  [17867] ,"English, 612 Pray-Harrold, Ypsilanti, MI 48197",http://www.Click2Apply.net/jtwzhpd,
Missouri University of Science & Technology,Max C. Weiner Distinguished Professorship in English or Technical Communication  [17858] ,"English & Tech Communication, 500 W 14th St 236 H-SS, Rolla, MO 65409",http://www.mst.edu,
 Northeastern University,Assistant or Associate Professor of Rhetoric and Composition  [17888] ,"English, 360 Huntington Av 405 LA, Boston, MA 02115",http://www.northeastern.edu/english/,
Saint Norbert College ,Assistant professor of English and Director of Writing Across the Curriculum  [17844] ,"English, Boyle Hall 100 Grant St, De Pere, WI 54115",http://www.snc.edu,
"University of Michigan, Dearborn",Assistant Professor in Composition and Rhetoric  [17899] ,"Lit, Philos, & the Arts, 4901 Evergreen Rd 3011 CB, Dearborn, MI 48128",http://www.casl.umd.umich.edu/lcc/,
University of Southern Mississippi,"Tenure-Track Position (open rank), Composition & Rhetoric and Director of Composition  [17852] ","English, 118 College Dr, #5037, Hattiesburg, MS 39406",http://www.usm.edu,
"University of Wisconsin, La Crosse","Assistant Professor of Rhetoric and Writing, Professional Writing Specialist  [17826] ","English, 1725 State St, La Crosse, WI 54601",http://www.uwlax.edu,
"University of Wisconsin, Milwaukee",Associate or Full Professor Rhetoric and Composition  [17849] ,"English, PO Box 413 Curtin Hall, Rm 413, Milwaukee, WI 53201",http://www4.uwm.edu/,
"University of Wisconsin, Stout",Assistant Professor of Professional Communication and Emerging Media  [17860] ,"English/Philos, 132 Harvey Hall, Menomonie, WI 54751",http://www.uwstout.edu/english,
Wayne State University,Assitant or Associate Professor of Composition/Rhetoric  [17832] ,"English, 5057 Woodward, Ste 9408, Detroit, MI 48202",http://wayne.edu,
American University of Kuwait ,Assistant Professor of English  [17936] ,"Safat, Kuwait ",http://www.auk.edu.kw,
Avila University ,Assistant Professor of English  [17929] ,"English, 11901 Wornall Rd, Kansas City, MO 64145",http://www.avila.edu/english,
 Brigham Young U-Hawaii,"English Professor, Open Rank  [18008] ","English, BYUH 1964 55-220 Kulanui St, Laie, HI 96762",http://hr.byuh.edu/?q=careers/jobs,
Carnegie Mellon University ,A.W. Mellon Postdoctoral Fellowships in the Humanities  [17954] ,"English, 5000 Forbes Av Baker Hall 259, Pittsburgh, PA 15213",http://www.hss.cmu.edu/,
Central Michigan University,Assitant or Associate professor of Writing Center  [17992] ,"English Lang & Lit, Anspach 215, Mt Pleasant, MI 48859",http://www.cmich.edu,
Coastal Carolina U,Assistant Professor of English – Composition and Rhetoric  [17957],"English, PO Box 261954, Conway, SC 29528",http://www.coastal.edu,
James Madison University,"Assistant or Associate Professor of Writing, Rhetoric & Technical Communication  [17968] ","Writing, Rhetoric & Tech Communication, Suite 2276 Harrison Hall, MSC 2103, Harrisonburg, VA 22807",http://www.jmu.edu/wrtc,
" John Jay C of Criminal Justice, CUNY",Assistant Professor of English  [17984] ,"English, 524 W 59th St, New York, NY 10019",http://www.jjay.cuny.edu,
Loyola U Maryland,"Assistant Professor, Writing  [17963] ","Writing, 4501 N Charles St, Baltimore, MD 21210",http://www.Click2apply.net/4fzvfxj,
McKendree U,Assistant Professor of English  [18002] ,"Lang, Lit, & Communication Div, 701 College Rd, Lebanon, IL 62254",http://www.mckendree.edu,
"Penn State U, DuBois",Full-time Nontenure-Track Assistant Professor of English  [17956] ,"English, 1 College Pl, Dubois, PA 15801",http://www.psu.edu/ur/cmpcoll.html,
Scripps College ,"SCRIPPS COLLEGE CLAREMONT, CA 91711 MARY ROUTT ENDOWED CHAIR OF WRITING SPRING 2014 OR SPRING 2015  [17955] ","1030 Columbia Av, Claremont, CA 91711",http://www.scrippscollege.edu,
Southern New Hampshire U,Assistant Professor of English  [17982] ,"English, 2500 N River Rd, Manchester, NH 03106",http://www.snhu.edu,
" U of Illinois, Urbana-Champaign",Associate Professor or Professor in Writing Studies  [17994] ,"English, 608 S Wright St, Urbana, IL 61801",http://www.english.illinois.edu/,
U of Maryland ,"English, 2119 Tawes Hall, College Park, MD 20742","English, 2119 Tawes Hall, College Park, MD 20742",http://www.english.umd.edu,
 U of Mississippi,Instructor of Composition and Rhetoric  [17965] ,"Writing & Rhetoric Ctr, PO Box 1848 100 Somerville Hall, University, MS 38677",http://jobs.olemiss.edu,
"U of Wisconsin, Stevens Point",Assistant Professor (Creative Writing/Fiction)  [18000] ,"English, 1801 Fourth Av 486 CCC, Stevens Point, WI 54481",http://www.uwsp.edu/english/Pages/default.aspx,
"U of Wisconsin, Stevens Point",Assistant Professor (Professional Writing/Editing & Publishing/Book History)  [18001] ,"English, 1801 Fourth Av 486 CCC, Stevens Point, WI 54481",http://www.uswp.edu/english/Pages/default.aspx,
Cottey College,Assistant Professor of English  [18072] ,"English, 1000 W Austin, Nevada, MO 64772",http://www.cottey.edu,
Lewis University,Assistant Professor of English  [18033] ,"English & For Lang Prog, One University Pky, Romeoville, IL 60446",http://www.lewisu.edu,
Massachusetts Inst of Tech,"Director , Writing Across the Curriculum, MIT  [18056] ","Writing & Hum Studies, 77 Massachusetts Av Rm 14E-303, Cambridge, MA 02139",http://web.mit.edu,
U of Louisville,Director of Composition  [17787] ,"English, S 3rd St 315 Bingham Humanities Bldg, Louisville, KY 40292",http://www.louisville.edu/jobs,
"U of North Carolina, Charlotte",Director of First Year Writing  [18080] ,"English, 9201 University City Blvd, Charlotte, NC 28223",http://english.uncc.edu/,
 U of South Florida,Associate or Full Professor  [18088] ,"English, 4202 E Fowler Av, CPR 107, Tampa, FL 33620",http://english.usf.edu,
" U of Washington, Tacoma",Assistant Professor of Technical/Professional Communications  [18087] ,"Interdisciplinary A&S, 1900 Commerce Box 358436, Tacoma, WA 98402",http://www.tacoma.uw.edu/,
U of West Georgia,Assistant Professor of English (Rhetoric and Composition)  [18034] ,"English, 1601 Maple St, Carrollton, GA 30118",http://www.westga.edu/english/,
West Chester U,Assistant Professor of African American Literature and/or Composition/Rhetoric  [18027] ,"English, 720 S High St Main Hall 532, West Chester, PA 19383",http://www.wcupa.edu/_academics/sch_cas.eng/,
 Westminster C,Assistant Professor in Fiction Writing  [18075] ,"English, Salt Lake City, UT 84105",http://jobs.westminstercollege.edu,
American University of Beirut,Assistant Professor in Rhetoric/Composition  [18139] ,"Beirut, Lebanon",http://www.aub.edu.lb/fas,
Armstrong Atlantic State University,Assistant Professor of English in Rhetoric and Composition  [18113] ,"Langs, Lit, & Philos, 11935 Abercorn St, Savannah, GA 31419",http://armstrong.edu,
Cornell University,Doctoral/Postdoctoral Diversity Fellowship  [18109] ,"English, East Av, 250 Goldwin Smith Hall, Ithaca, NY 14853",http://www.arts.cornell.edu/english/,
Embry-Riddle Aeronautical U,Assistant Professor Tenure Track  [18104] ,"Humanities & Social Sciences, 600 S Clyde Morris Blvd, Daytona Beach, FL 32114",http://www.erau.edu/administration/hr.html,
Grand View University,Assistant Professor of English - Fall 2013-14  [18125] ,"English, 1200 Grandview Av, Des Moines, IA 50316",http://grandview.hrmdirect.com/employment/job-opening.php?re,
 Indiana U East,Assistant or Associate Professor in Rhetoric and Composition and Writing Program Director  [18128] ,"English, 2325 Chester Blvd, Richmond, IN 47374",http://www.iue.edu/hr/apply,
" SU of New York, C at Potsdam",Assistant Professor of Rhetoric and/or Composition  [18151] ,"English & Communication, 44 Pierrepont Av, Potsdam, NY 13676",http://www.potsdam.edu,
" U of North Carolina, Charlotte","Assistant Professor/Coordinator, Writing Resources Center  [18101] ","English, 9201 University City Blvd, Charlotte, NC 28223",http://english.uncc.edu/,
"U of Texas, Tyler",Assistant Professor in Rhetoric and Composition  [18110] ,"Lits & Langs, 3900 University Blvd, Tyler, TX 75799",http://www.uttyler.edu/faculty/jobs,
University of Virginia, Associate or Full Professor to serve as Director of the Writing Program  [18111] ,"English, PO Box 400121, 219 Bryan Hall, Charlottesville, VA 22904",http://www.engl.virginia.edu,
"Baruch College, CUNY",Associate or Full Professor/Director of the Writing Program  [18254] ,"English, 1 Bernard Baruch Way, New York, NY 10010",http://www.baruch.cuny.edu/,
 Clemson University,Writing Across the Curriculum  [18206] ,"English, PO Box 340523 801 Strode Tower, Clemson, SC 29634",http://www.clemson.edu/caah/english,
Clemson University,Technical Writing  [18207] ,"English, PO Box 340523 801 Strode Tower, Clemson, SC 29634",http://www.clemson.edu/caah/english,
Elon University,"Assistant Professor of English Composition, Tenure-Track  [18215] ","English, 2338 Campus Box, Elon, NC 27244",http://www.elon.edu/english,
Elon University,Lecturer in English Composition [18216],"English, 2338 Campus Box, Elon, NC 27244",http://www.elon.edu/english,
George Washington U,Assistant Professor of Professional/Technical Writing  [18185] ,"University Writing Prog, 801 22nd St NW, 553 Rome Hall, Washington, DC 20052",http://www.gwu.edu,
Iowa State University,"Assistant Professor, Director of Public Speaking  [18187] ","English, 203 Ross Hall, Ames, IA 50011",http://engl.iastate.edu/,
Luther College,Assistant Professor of English  [18169] ,"English, 700 College Dr, Decorah, IA 52101",http://www.luther.edu/academics/dean/openings/,
Manhattan College,Writing Center Coordinator  [18177] ,"English, 4513 Manhattan College Pky, Bronx, NY 10471",http://www.manhattan.edu,
Northern Michigan University,"Assistant Professor, tenure-track position in Developmental English/Reading  [18174] ","English, 1401 Presque Isle Av, Marquette, MI 49855",http://www.nmu.edu,
Tennessee State University,Assistant Professor of English (Multiple Positions)  [18239] ,"Langs, Lit, & Philos, 3500 John A Merritt Blvd, Nashville, TN 37209",http://www.tnstate.edu,
University of Florida,Program Director of University Writing Program  [18204] ,"English, PO Box 117310, Gainesville, FL 32611",http://www.hr.ufl.edu/recruitment/applicant_resources/work-UF.asp,
University of Idaho ,"Advanced Assistant/Associate Professor, Rhetoric and Composition; Writing Program Administrator  [18211] ","English, PO Box 441102, Moscow, ID 83844",http://www.uidaho.edu/class/english/,
University of Southern California ,Lecturers in Writing  [18161] ,"Writing Prog, 950 W Jefferson Blvd, Rm 150 JEF 150, MC 1293, Los Angeles, CA 90089",http://usc.edu,
University of Tampa ,Assistant Professor of English (First Year Writing)  [18209] ,"Langs & Linguistics, 401 W Kennedy Blvd Box R, Tampa, FL 33606",http://jobs.ut.edu,
Utah Valley University,"Faculty, Assistant Professor, Rhetoric and Composition - 054587  [18249] ","English, 800 W University Pky, Orem, UT 84058",http://www.uvu.edu,
Fitchburg State University ,Assistant Professor/English Studies/Tenure Track  [18320] ,"English, 160 Pearl St, Fitchburg, MA 01420",http://www.fitchburgstate.edu,
 Louisiana SU & A&M C,"Assistant Professor (Second-Language Acquisition, Multilingualism, Rhetoric and Composition)  [18276] ","English, Allen Hall 260, Baton Rouge, LA 70803",http://english.lsu.edu,
Nova Southeastern U,Writing/Composition Faculty  [18261] ,"Humanities, 3301 College Av, Fort Lauderdale, FL 33314 ",,
Simpson College ,Writing Across the Curriculum Director  [18306] ,"English, 701 North C St, Indianola, IA 50125",http://www.simpson.edu,
"U of Hawaii, Hilo",ASSISTANT PROFESSOR OF ENGLISH  [18284] ,"English, 200 W Kawili St, Hilo, HI 96720",http://hilo.hawaii.edu/depts/english/,
"University of Massachusetts, Lowell",Assistant or Associate Professor of Composition and Rhetoric  [18289] ,"English, 61 Wilder St, Lowell, MA 01854",http://www.uml.edu,
"Columbia C, Chicago",Assistant Professor of Professional Writing  [18365] ,"English, 600 S Michigan Av, Chicago, IL 60605",http://employment.colum.edu,
 Marymount Manhattan C,Assistant Professor of Academic Writing and Director of Writing Seminar Program  [18374] ,"Lit & Lang, 221 E 71 St, New York, NY 10021",http://www.mmm.edu,
Michigan Tech U,Assistant Professor of Rhetoric and Composition  [18328] ,"Humanities, 1400 Townsend Dr, Houghton, MI 49931",http://www.mtu.edu/humanities,
Monmouth C,"Tenure Track, Creative Writing  [18360] ","English, 700 E Broadway, Monmouth, IL 61462",http://www.monmouthcollege.edu,
Oakton Comm C,Assistant or Associate Professor English  [18367] ,"English, 1600 E Golf Rd, Des Plaines, IL 60016",http://oakton.interviewexchange.com/jobofferdetails.jsp?JOBID=35528,
Oakton Comm C,"English, 1600 E Golf Rd, Des Plaines, IL 60016","English, 1600 E Golf Rd, Des Plaines, IL 60016",http://oakton.interviewexchange.com/jobofferdetails.jsp?JOBID=35528,
Point Park U,"Tenure-track position in Composition, Humanities and Human Sciences Department  [18366] ","Humanities & Human Sciences, 201 Wood St, Pittsburgh, PA 15222",http://www.pointpark.edu,
 Tennessee Tech U,Assistant Professor of Linguistics  [18331] ,"English, PO Box 5053, Cookeville, TN 38505","http://www,tntech.edu",
"U of Colorado, Denver",Assistant professor in Rhetoric/Composition  [18321] ,"English, PO Box 173364, Campus Bx 175 1015 9th Street Park, Denver, CO 80217",http://www.ucdenver.edu,
"U of Minnesota, Duluth",Associate or Full Professor of Writing Studies  [18330] ,"Writing Studies, 1201 Ordean Ct, 420 Hum, Duluth, MN 55812",http://www.d.umn.edu/writ,
Utica C,Assistant Professor of English American Literature  [18357] ,"English, 1600 Burrstone Rd, Utica, NY 13502",http://www.Click2Apply.net/vfgwhdw,
Yale-NUS College,"Assistant/Associate/Professor of Humanities, Writing  [18344] ","Humanities Division, 6 College Ave East #B1-01, Singapore ",http://www.yale-nus.edu.sg,
Belmont University,Assistant Professor of English (British Literature)  [18406] ,"English, 1900 Belmont Blvd WHB 200, Nashville, TN 37212",http://www.belmont.edu,
Belmont University,Assistant Professor of English (Creative Writing)  [18408] ,"English, 1900 Belmont Blvd WHB 200, Nashville, TN 37212",http://www.belmont.edu,
Belmont University,Assistant Professor of English (Writing)  [18409] ,"English, 1900 Belmont Blvd WHB 200, Nashville, TN 37212",http://www.belmont.edu,
Fort Hays SU,"Associate/Full Professor of English, Goss Distinguished Professor of Excellence in Teaching  [18417] ","English, 600 Park St, Hays, KS 67601",http://www.fhsu.edu/positions,
Governors SU,Assistant or Associate Professor Composition  [18382] ,"English & Writing Progs, C of Arts & Sciences, University Park, IL 60484",http://www.Click2Apply.net/njs2p5s,
Governors SU,"Assistant or Associate Professor- English Education, Composition and Rhetoric  [18383] ","English & Writing Progs, C of Arts & Sciences, University Park, IL 60484",http://www.Click2Apply.net/hqs8wz5,
Maryville C,Visiting Instructor in English  [18395] ,"Hum Div, 502 E Lamar Alexander Pwy, Maryville, TN 37804",http://www.maryvillecollege.edu,
