Institution,Position,Address,URL
Auburn U,Lecturer [27674],"9030 Haley Ctr, Auburn University, AL 36849",https://apply.interfolio.com/40736
Colorado SU,Special Assistant Professor - Associate Director of Composition [27678,"Fort Collins, CO 80523",https://apply.interfolio.com/40739
"Penn State U, Berks",Instructor of Writing [27683],"Reading, PA 19610",https://apply.interfolio.com/40742
"Queens C, CUNY",Associate Director of Freshman Year Initiative & Lecturer in English [27642],"Queens, NY 11367",https://apply.interfolio.com/40732
U of North Texas,Director of the Writing Center/Lecturer (Open Rank) [27679],"Denton, TX 76203",https://apply.interfolio.com/40740
Washington State U - Pullman,Associate/Full Professor-Composition and Rhetoric/Director of Composition [27706],"Pullman, WA 99164",https://apply.interfolio.com/40874
Tennessee Tech U,Instructor of English [27710],"Cookeville, TN 38505",https://apply.interfolio.com/40876
Tennessee Tech U,Lecturer in English [27711],"Cookeville, TN 38505",https://apply.interfolio.com/40877
"U of California, Merced","Director, Merritt Writing Program and Associate Dean, Office of Undergraduate Education [27688]","5200 North Lake Road, Merced, CA",https://apply.interfolio.com/40867
Contra Costa Comm Coll District,English Assistant Professor [27721],"Martinez, CA 94553",https://apply.interfolio.com/40988
"U of California, Riverside",Professors of Teaching with PSOE Potential for Security of Employment or with SOE Security of Emp [27720],"Riverside, CA 92521",https://apply.interfolio.com/40987
Bennington C,Director of Undergraduate Writing Initiatives [27740],"Bennington, VT 05201",https://apply.interfolio.com/41156
"U of Alabama, Huntsville",Lecturer [27728],Huntsville AL 35899,https://apply.interfolio.com/40994
"U of Missouri, Columbia","Director of Composition, Department of English [27744]","Columbia, MO 65211",https://apply.interfolio.com/41158
"U of Nevada, Reno",Lecturer II [27742],"Reno, NV 89557",https://apply.interfolio.com/41157
"SU of New York, U at Buffalo",Clinical Assistant Professor - Rhetoric & Composition [27782],"Buffalo, NY 14260",https://apply.interfolio.com/41283
U of New Haven,Coordinator Principles of Communication [27761],"West Haven, CT 06516",https://apply.interfolio.com/41275
Washington SU,Writing Center Director and English Instructor [27758],"Pullman, WA 99164",https://apply.interfolio.com/41274
William Patterson University,Lecturer--Program in Writing and Rhetoric [rhetmap 14],"Wayne, NJ 07470",https://wpconnect.wpunj.edu/emps/jobs/positions2.cfm?job=27295​
Syracuse U,Assistant Teaching Professor of Writing and Rhetoric (non-tenure track) [27802],"Syracuse, NY 13244",https://apply.interfolio.com/41384
"U of Illinois, Chicago","Lecturer – Department of English, University of Illinois at Chicago [27806]","Chicago, IL 60607",https://apply.interfolio.com/41385
West Texas A&M U,Assistant or Asssociate Professor of English (Rhetoric & Composition) [27810],"Canyon, TX 79016",https://apply.interfolio.com/41388
Maryville U,Director of Writing and Multimodal Composition [27829],"St Louis, MO 63141",https://apply.interfolio.com/41485
Tulane U,Professors of Practice [27813],"New Orleans, LA 70118",https://apply.interfolio.com/41317
US Coast Guard Acad,LECTURER - English [27828],"New London, CT 06320",https://apply.interfolio.com/41484
Ohio SU,Assistant Professor - English [27835],"Columbus, OH 43210",https://apply.interfolio.com/41596
"U of Alabama, Birmingham",Visting Instructor or Assistant Professor [27842],"Birmingham, AL 35294",https://apply.interfolio.com/41597
Merrimack C,Coordinator of First-Year Writing [27904],"North Andover, MA 01845",https://apply.interfolio.com/41680
Oklahoma SU,"Visiting Assistant Professor–Composition, Technical Writing and/or Undergraduate Literature [27913]","Stillwater, OK 74078",https://apply.interfolio.com/41682
"U of Nevada, Reno",Term Lecturer [27918],"Reno, NV 89557",https://apply.interfolio.com/41683
Columbia U,Lecturer-in-Discipline [27922],"New York, NY 10027",https://apply.interfolio.com/41789
Stanford U,English Instructor [27942],"Stanford, CA 94305",https://apply.interfolio.com/41791
"U of California, San Diego","Assistant Director, UC San Diego Earl Warren College Writing Program (Academic Coordinator I - AY/ L [28164]","La Jolla, CA 92093",https://apply.interfolio.com/42023
U of Michigan,Lecturer I in the English Department Writing Program [28143],"Ann Arbor, MI 48109",https://apply.interfolio.com/42022
University of Memphis,Instructor [rhetmap 15],"Memphis, TN 38152",https://workforum.memphis.edu/postings/15735
Auburn U,Instructor [28422],"Auburn University, AL 36849",https://apply.interfolio.com/42339
Ball SU,Instructor or Assistant Professor of English [28404],"Muncie, IN 47306",https://apply.interfolio.com/42338
Temple U,"Assistant Professor of Instruction, English and First Year Writing, Temple University [28382]","Philadelphia, PA 19122",https://apply.interfolio.com/42336
U of New Haven,Lecturer - Department of English [28429],"West Haven, CT 06516",https://apply.interfolio.com/42410
"U of California, Berkeley","Lecturer, Department of English [28463]","Berkeley, CA 94720",https://apply.interfolio.com/42555
Law School Admissions Council,"Test Specialist, Reading Comprehension Focus [28543]","Newtown, PA 18940",https://apply.interfolio.com/42677
U of Exeter,Research Assistant [28563],"Exeter, 01 United Kingdom EX4 4ND",https://apply.interfolio.com/42679
U of South Alabama,One-Year-Only Instructor [28502],"Mobile, AL 36688",https://apply.interfolio.com/42676
Hampden-Sydney C,Visiting Assistant Professor of Rhetoric [28582],"Hampden-Sydney, VA 23943",https://apply.interfolio.com/42629
"SU of New York, Fredonia",Lecturer in Multi-Genre Creative Writing [28742],"Fredonia, NY 14063",https://apply.interfolio.com/42947
