Institution,Position,Address,URL
Brown U,Director of the Nonfiction Writing Program  [33156],"Providence, RI 02912 ",https://apply.interfolio.com/51715
C of Saint Scholastica,Assistant Professor of English  [33220] ,"Duluth, MN 55811",https://www.csshrjobs.com/
Gettysburg C,Visiting Assistant Professor of English One Year Appointment  [33243] ,"Gettysburg, PA 17325",https://gettysburg.peopleadmin.com/postings/2751
Grand Valley SU,Assistant Professor of Writing  [33222] ,"Allendale, MI 49401",http://jobs.gvsu.edu/cw/en-us/listing/
"U of Alabama, Birmingham",Instructor or Assistant Professor of English  [33162] ,"Birmingham, AL 35294",https://uab.peopleadmin.com/postings/4372
U of Georgia,"Associate Professor, Rhetoric/Composition and Director of First-year Composition  [33221","Athens, GA 30602",https://www.ugajobsearch.com/postings/32372
"U of Hawaii, West Oahu",Assistant Professor of English  [33217] ,"Kapolei, HI 96707",https://www.governmentjobs.com/careers/hawaiiedu?keywords=0076292
U of Indianapolis,Assistant Professor of English  [33218],"Indianapolis, IN 46227",https://uindy.hyrell.com/UI/Views/Applicant/VirtualStepCareers.aspx
U of New Orleans,Visiting Assistant Professor of Professional Writing  [33248],"New Orleans, LA 70148",http://new.uno.edu/careers
"U of Wisconsin, Madison",Assistant Professor in English  [33099] ,"Madison, WI 53706",https://jobs.wisc.edu/
Utah SU,"Assistant/Associate Professor, Writing Program Director  [33101] ","Logan, UT 84322",https://usu.hiretouch.com/job-details?jobID=3894&job=assistant-associate-professor-english-writing-p
York U,"Assistant Professor, Writing, STEM specialist  [33203]","Toronto, ON Canada M3J 1P3",https://apply.interfolio.com/56106
York U,"Assistant Professor, Writing, Digital Cultures  [33206] ","Toronto, ON Canada M3J 1P3",https://apply.interfolio.com/56109
"California SU, Los Angeles",Associate/Full Professor of Rhetoric and Composition and Director of First-Year Writing  [33368] ,"Los Angeles, CA 90032",https://apply.interfolio.com/56514
"California SU, Los Angeles",Assistant Professor of Writing Studies  [33371] ,"Los Angeles, CA 90032",https://apply.interfolio.com/56515
"California SU, Monterey Bay",Assistant Professor of Poetry/Social Action and Composition Studies  [33332] ,"Seaside, CA 93955 ",http://apptrkr.com/get_redirect.php?id=1308548
Dartmouth C,Assistant Director for Program Development  [33364] ,"Hanover, NH 03755",https://apply.interfolio.com/55079
Dartmouth C,Senior Lecturer with Research  [33365],"Hanover, NH 03755",https://apply.interfolio.com/56228
Emory U,"Director, Writing Center  [33333] ","Oxford, GA 30054",https://apply.interfolio.com/54039
Franklin C,Tenure-Track Position in English and Creative Writing  [33372] ,"Franklin, IN 46131",https://franklincollege-ubsru.formstack.com/forms/faculty_application_english_and_creative_writing
Iowa SU,Director Writing & Media Center  [33325] ,"Ames, IA 50011",https://www.iastatejobs.com/
"SU of New York, U at Buffalo","Director, Writing Across the Curriculum; Associate/Full Professor, English  [33363] ","Buffalo, NY 14260",https://www.ubjobs.buffalo.edu/postings/16758
U of Central Oklahoma,"English-Technical/Professional Writing, Full-Time, Tenure-Track, Assistant Professor  [33335] ","Edmond, OK 73034",https://www.uco.edu/offices/hr/uco-applicant-job-site
U of South Florida,Advanced Assistant/Associate Professor of English  [33336] ,"Tampa, FL 33620 ",https://www.usf.edu/work-at-usf/careers/index.aspx
"U of Tennessee, Chattanooga",Assistant Professor of English  [33375] ,"Chattanooga, TN 37403 ",https://ut.taleo.net/careersection/utc_faculty/jobdetail.ftl?job=18000001IH
U of Washington,Open Rank Faculty Position in English Rhetoric and Composition Studies  [33269] ,"Seattle, WA 98195",https://apply.interfolio.com/54506
Ball State University,Assistant Professor of English  [33483] ,"Muncie, IN 47306",https://bsu.peopleadmin.com/postings/15219
Butler U,First Year Seminar and Technical Writing Instructor  [33463] ,"Indianapolis, IN 46208",https://www.butler.edu/hr/faculty-openings
Clemson U,Endowed Professorship- Roy Pearce Professor of Professional Communication  [33488] ,"Clemson, SC 29634",https://apply.interfolio.com/56734
Fort Hays State Univrsitu,Assistant Professor of English  [33424] ,"Hays, KS 67601",https://fhsu.wd1.myworkdayjobs.com/CAREERS
Iowa State University,Associate or Full Professor and Director of ISUComm Foundation Courses  [33487] ,"Ames, IA 50011",https://www.iastatejobs.com/postings/36497
"U of Texas, El Paso",Assistant Professor of English- Borderlands/Cultural Studies/ Social Justice and K-16 Literacy  [33426] ,"El Paso, TX 79968",https://www.utep.edu/human-resources/services/employment/
"U of Texas, El Paso",Assistant Professor of English- Secondary Composition/Multimodal Literacy/Literacy  [33427] ,"El Paso, TX 79968",https://www.utep.edu/human-resources/services/employment/
"U of Wisconsin, Madison",Associate Professor/Professor of English  [33430] ,"Madison, WI 53706",https://jobs.wisc.edu/
Massachusetts Maritime Academy,"Full-time, tenure-track Assistant or Associate Professor of Humanities [rhetmap 13]","Buzzards Bay, MA 25320","https://www.maritime.edu/fy19-05-ft-tenure-track-professor-humanities-0	
"
Fort Hays State University,Instructor of English - China  [33603] ,China,https://apps.mla.org/jil_listing?id=33603
Humboldt State University,English (Cultural and Digital Rhetorics with emphasis in Latinx/Chicanx Rhetorics)  [33511] ,"Arcata, CA 95521",https://apply.interfolio.com/55188
La Salle U,Assistant Professor of English/Director of Writing  [33565] ,"Philadelphia, PA 19141",https://lasalle.peopleadmin.com/postings/1527
Rochester Inst of Tech,"Instructional Faculty - English Literature, International  [33584] ","Rochester, NY 14623",https://apply.interfolio.com/57203
Rockford U,"Assistant Professor of English, Rhetoric and Composition  [33608] ","Rockford, IL 61108",https://apply.interfolio.com/57196
"U of Missouri, Kansas City",Assistant Professor of English  [33523] ,"Kansas City, MO 64110",https://info.umkc.edu/hr/careers/academic-positions/
U of Southern California,"Full-time, Teaching-Track Writing Faculty  [33549] ","MC 1293, Los Angeles, CA 90089",https://usccareers.usc.edu/
U of Toronto at Mississauga,"Assistant Professor, Narrative and Communication  [33548] ","Mississauga, ON CA L5L 1C6",https://utoronto.taleo.net/careersection/10050/jobdetail.ftl?job=1804237&tz=GMT-04%3A00
George Washington U,"Assistant Professor of Writing specializing in professional, business, or technical writing  [33847]","Washington, DC 20007",https://www.gwu.jobs/postings/56822
North Dakota SU,Assistant Professor of English  [33983] ,"Fargo, ND 58108",https://jobs.ndsu.edu/postings/9743
"Penn State U, Berks",Full Time Multi-Year Lecturer in English Composition  [33763] ,"Reading, PA 19610 ",http://apptrkr.com/get_redirect.php?id=1319951
U of Maryland UC,"UMUC Collegiate Traveling Faculty, Europe and Asia Divisions  [33724] ","Hertelsbrunnenring 10, 67657 Kaiserslautern, Germany",https://apply.interfolio.com/57468
Washington SU,Associate Professor and Director of Composition  [33843],"Pullman, WA 99164",https://www.wsujobs.com/postings/41416
Carnegie Mellon U,"Assistant Teaching Professor; Writing for Multilingual Students, Lit & Cultural Studies, Digital Hum  [34105] ",Qatar,http://apply.interfolio.com/57635
U of Southern Mississippi,"Assistant Professor, Writing Center Director and Composition Specialist  [33989] ","Hattiesburg, MS 39406",https://usm.csod.com/ats/careersite/JobDetails.aspx?id=419&site=1
"U of Texas, Arlington",Assistant Professor of Practice in English (Technical Writing and Professional Communication)  [34045] ,"Arlington, TX 76019",https://uta.peopleadmin.com/
Pacific U,Visiting Assistant Professorship in Rhetoric and Composition  [34125] ,"Forest Grove, OR 97116",https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=6793&clientkey=ABFDAFED645B6920C
Texas SU,"Director, MA in Technical Communication - Assistant Professor, Associate Professor, or Professor  [34123] ","San Marcos, TX 78666",https://jobs.hr.txstate.edu/postings/23825
Mercy College,Assistant Professor- English Composition  [34264] ,"Dobbs Ferry, NY 10522",https://apply.interfolio.com/57916
Siena College,Assistant Professor of Writing and Communications  [34243] ,"Loudonville, NY 12211 ",https://siena.interviewexchange.com/jobofferdetails.jsp;jsessionid=583FB73438F94826149C7AA3F80C03A2?JOBID=104819
U of Central Florida,Assistant Professor of Technical Communication  [34163] ,"4000 Central Florida Blvd, Bldg 18, Orlando, FL 32816",https://www.jobswithucf.com/postings/55533
U of Kentucky,Visiting Assistant Professor in Technical and Professional Communication  [34265] ,"1353 Patterson Off Twr, Lexington, KY 40506",https://ukjobs.uky.edu/postings/206478
Lewis U,Assistant Professor of English  [34373] ,"Romeoville, IL 60446",https://jobs.lewisu.edu/postings/3922
U of Northern Colorado,"Fill-Time Faculty, First-Year Composition, and Writing Center Director  [34370] ","Greeley, CO 80639",https://careers.unco.edu/postings/2498
Berea C,Berea Bridge & Writing Program Administrator  [34484] ,"Berea, KY 40404",https://apply.interfolio.com/58259
"California SU, Long Beach","Assistant or Associate Professor of English, Writing Center Director  [34465]","Long Beach, CA 90840",https://academicjobsonline.org/ajo/jobs/12653
Northern Michigan U,Assistant Professor/Composition and Rhetoric/Tenure Track  [34464] ,"Marquette, MI 49855",https://employme.nmu.edu/applicants/jsp/shared/Welcome_css.jsp
Virginia Commonwealth U,"Instructor or Assistant Professor, Focused Inquiry  [34405] ","1015 Floyd Ave Room 5128, Richmond, VA 23284",https://www.vcujobs.com/postings/84887?utm_source=JobTarget&utm_medium=MLA%20-%20Modern%20Language%20Association&utm_campaign=Instructor%20or%20Assistant%20Professor%2C%20Focused%20Inquiry%20(132309b)&_jtochash=DwlQlqu8dM2bS2O7iYLpL&_jtocprof=W5_aq5lTS1k5KpS-70ynK80aeT1iTbu0
William & Mary,"Director, William & Mary Writing Resources Center  [34403]","Williamsburg, VA 23187",https://jobs.wm.edu/postings/33961
Saint Mary's U of Minnesota,Assistant Professor of English  [34485] ,"Winona, MN 55987",https://www.smumn.edu/about/offices/human-resources/job-details
"University of California, Santa Barbara",Lecturer [rhetmap 14],"Santa Barbara, CA 93105",http://www.writing.ucsb.edu/news/announcement/633
Babson College ,Writing Center Director  [34584] ,"Babson Park, MA 02457",https://babson.peopleadmin.com/postings/6133
C of DuPage,Full Time Faculty - English Composition  [34606] ,"Glen Ellyn, IL 60137",https://cod.hiretouch.com/job-details?jobID=52075
Contra Costa Comm Coll District,English Assistant Professor  [34586,"Martinez, CA 94553 ",https://www.4cdcareers.net/postings/5658
Kansas SU Polytechnic,Instructor/TAP/Asst-Assoc Professor (Composition/Rhetoric)  [34524] ,"Salina, KS 67401",http://careers.k-state.edu/cw/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=
Lehigh U,"Director, Philip Rauch Center for Business Communications and Lecturer in Business  [34523]","Bethlehem, PA 18015",https://academicjobsonline.org/ajo/jobs/12824
